OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 172,2019-002F,2026-05-27T16:02:30.864192,14.34216808,.0002122,86.3975,2.1504,89.0002,271.1437,0,U,43927,999,38602,-.27769E-5,.12E-6,0
IRIDIUM 175,2019-002G,2026-05-27T19:52:08.065632,14.43599686,.0001315,86.4494,299.0346,323.2921,36.8190,0,U,43928,999,39604,.9673E-4,.348E-5,0
IRIDIUM 171,2019-002H,2026-05-27T15:35:06.876960,14.34217085,.0002071,86.3991,2.4624,83.6583,276.4849,0,U,43929,999,38601,.395E-4,.13E-5,0
IRIDIUM 170,2019-002J,2026-05-27T15:20:02.644800,14.72257905,.0002385,86.6102,2.1379,90.0440,270.1051,0,U,43930,999,39623,.12028E-3,.783E-5,0
IRIDIUM 167,2019-002K,2026-05-27T15:25:58.878048,14.34217768,.0002012,86.3981,2.1834,78.9407,281.2015,0,U,43931,999,38601,.31822E-5,.29E-6,0
IRIDIUM 181,2023-068S,2026-05-27T20:41:40.376832,14.43309731,.0002192,86.4511,65.2856,87.7313,272.4139,0,U,56726,999,15950,.93439E-4,.335E-5,0
IRIDIUM 177,2023-068T,2026-05-27T18:31:09.854112,14.80241191,.0002485,86.1961,338.4906,86.1738,273.9767,0,U,56727,999,16334,.83672E-4,.663E-5,0
IRIDIUM 174,2023-068U,2026-05-27T19:55:50.676096,14.72243544,.0002627,86.6116,2.2040,83.6432,276.5084,0,U,56728,999,16302,.12925E-3,.839E-5,0
IRIDIUM 178,2023-068V,2026-05-27T18:15:31.576896,14.80212493,.0005557,86.6678,33.9139,122.9840,237.1916,0,U,56729,999,16334,.13815E-3,.1076E-4,0
IRIDIUM 179,2023-068W,2026-05-27T18:07:47.525952,14.80226818,.0003256,86.6756,42.8103,103.6101,256.5483,0,U,56730,999,16334,.14124E-3,.1099E-4,0
